         15395641 function calls (15388763 primitive calls) in 44.600 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 observer.py:1(<module>)
       66    0.000    0.000    0.001    0.000 traceback.py:279(line)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       10    0.001    0.000    0.001    0.000 {built-in method ones}
      812    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
       27    0.000    0.000    0.001    0.000 linecache.py:15(getline)
      5/4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:605(_exec)
        1    0.000    0.000    0.001    0.001 zipfile.py:5(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
       27    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.001    0.001 header.py:5(<module>)
        1    0.000    0.000    0.001    0.001 gumbel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       22    0.000    0.000    0.001    0.000 linecache.py:82(updatecache)
     1331    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        6    0.000    0.000    0.001    0.000 enum.py:547(<dictcomp>)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:1(<module>)
      224    0.001    0.000    0.001    0.000 enum.py:301(__setattr__)
        1    0.000    0.000    0.001    0.001 module.py:1(<module>)
       37    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1043(__import__)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
     3353    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
       11    0.000    0.000    0.001    0.000 abc.py:151(register)
     1331    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
        2    0.000    0.000    0.001    0.000 activation.py:1(<module>)
       91    0.001    0.000    0.001    0.000 typing.py:890(_next_in_mro)
       74    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
        1    0.000    0.000    0.001    0.001 data_parallel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:38(filterwarnings)
        1    0.000    0.000    0.001    0.001 pickle.py:180(<listcomp>)
        1    0.000    0.000    0.001    0.001 worker.py:5(<module>)
        2    0.000    0.000    0.001    0.000 profiler.py:1(<module>)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2264(_IPv6Constants)
       19    0.000    0.000    0.001    0.000 activation.py:981(forward)
        1    0.000    0.000    0.001    0.001 nvtx.py:1(<module>)
       50    0.000    0.000    0.001    0.000 utils.py:6(parse)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2158(__init__)
       19    0.000    0.000    0.001    0.000 activation.py:294(forward)
       19    0.001    0.000    0.001    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
       19    0.000    0.000    0.001    0.000 functional.py:1202(softmax)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6704(add_newdoc_for_scalar_type)
       19    0.001    0.000    0.001    0.000 {built-in method tanh}
      618    0.001    0.000    0.001    0.000 _inspect.py:15(ismethod)
      438    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
      406    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       10    0.000    0.000    0.001    0.000 batchnorm.py:49(reset_parameters)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
       71    0.000    0.000    0.001    0.000 sre_parse.py:90(closegroup)
       10    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
       19    0.001    0.000    0.001    0.000 {method 'softmax' of 'torch._C._TensorBase' objects}
      102    0.000    0.000    0.001    0.000 re.py:160(match)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 lr_scheduler.py:1(<module>)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
        1    0.000    0.000    0.001    0.001 exp_family.py:1(<module>)
